Feature	mean_imp	base	window	stat
totusjh_mean_t10_5	0.0641293169351901	totusjh	5	mean
totusjh_q5_t10_5	0.0576242823512697	totusjh	5	q5
totusjh_max_t10_5	0.0482521909816381	totusjh	5	max
totusjh_min_t10_5	0.0414237212737832	totusjh	5	min
totusjh_mean_t10_4	0.0300768701121989	totusjh	4	mean
r_value_mean_t10_5	0.0292729011108355	r_value	5	mean
r_value_max_t10_5	0.0227015507630327	r_value	5	max
totusjh_q5_t10_4	0.0223535929694824	totusjh	4	q5
r_value_q5_t10_5	0.0194119359959725	r_value	5	q5
totusjz_min_t10_5	0.0192107012835246	totusjz	5	min
totusjz_mean_t10_5	0.0169699097414819	totusjz	5	mean
totusjz_q5_t10_5	0.0164388127445584	totusjz	5	q5
totusjh_min_t10_4	0.0163910237504816	totusjh	4	min
absnjzh_sd_l1_t10_5	0.0161932216808243	absnjzh	5	sd_l1
totusjh_max_t10_4	0.0152165729290424	totusjh	4	max
r_value_min_t10_5	0.0140943789990024	r_value	5	min
totusjh_q5_t10_3	0.0139953204795604	totusjh	3	q5
totusjh_max_t10_3	0.0136895279016717	totusjh	3	max
totusjz_max_t10_5	0.011009607274776	totusjz	5	max
absnjzh_sd_l1_t10_4	0.00951123897439747	absnjzh	4	sd_l1
r_value_mean_t10_4	0.00876898855399139	r_value	4	mean
totusjh_mean_t10_3	0.00858538478741648	totusjh	3	mean
absnjzh_range_t10_5	0.00763839514917813	absnjzh	5	range
absnjzh_sd_t10_5	0.00745467264172951	absnjzh	5	sd
totusjz_mean_t10_4	0.00730658766032692	totusjz	4	mean
r_value_max_t10_4	0.00709533207710651	r_value	4	max
totpot_sd_l1_t10_5	0.00640380641790676	totpot	5	sd_l1
absnjzh_range_l1_t10_5	0.00630465165093833	absnjzh	5	range_l1
r_value_q5_t10_4	0.00604227879752135	r_value	4	q5
totusjz_max_t10_4	0.00555592255071449	totusjz	4	max
absnjzh_range_t10_4	0.00548680441490638	absnjzh	4	range
totpot_max_t10_5	0.00516742773834735	totpot	5	max
totusjh_min_t10_3	0.00499441991780395	totusjh	3	min
xr_max_min_t10_4	0.00498119811657943	xr_max	4	min
xr_max_min_t10_2	0.00463139899842275	xr_max	2	min
totusjz_min_t10_4	0.00441658986398214	totusjz	4	min
xr_max_min_t10_0	0.00439779258685097	xr_max	0	min
xr_max_min_t10_5	0.00436366383305797	xr_max	5	min
xr_max_min_t10_1	0.00434117776676283	xr_max	1	min
savncpp_max_t10_5	0.00424135454179493	savncpp	5	max
xr_max_min_t10_3	0.0041101690447443	xr_max	3	min
totusjh_mean_t10_2	0.0041018944276471	totusjh	2	mean
totpot_q5_t10_5	0.00409969225868391	totpot	5	q5
totpot_range_l1_t10_5	0.00403229414883498	totpot	5	range_l1
r_value_min_t10_4	0.00392112595406288	r_value	4	min
absnjzh_sd_t10_4	0.00390095822657918	absnjzh	4	sd
totpot_mean_t10_5	0.00382498480627788	totpot	5	mean
totusjz_mean_t10_3	0.00372769070464186	totusjz	3	mean
r_value_mean_t10_3	0.00358597216623699	r_value	3	mean
absnjzh_sd_l1_t10_3	0.00355276583437759	absnjzh	3	sd_l1
r_value_q5_t10_3	0.00330199100619552	r_value	3	q5
absnjzh_range_l1_t10_4	0.0032635731437499	absnjzh	4	range_l1
r_value_max_t10_3	0.00312706087430505	r_value	3	max
